26,93
81,25
18,10
71,89
55,63
75,12
40,63
73,10
99,8
13,45
20,23
77,6
65,79
4,27
100,43
89,46
3,40
64,55
8,83
78,35
71,69
89,91
45,67
93,25
94,51
47,44
74,41
72,80
59,69
8,80
28,81
74,90
55,99
44,62
32,8
27,81
28,36
25,36
43,93
39,72
78,39
11,2
15,70
26,14
56,62
34,99
84,55
17,50
67,69
85,24
94,80
29,67
62,33
33,56
92,57
43,15
38,64
79,74
73,43
61,56
37,91
81,61
35,7
22,23
15,39
92,72
27,5
52,71
33,58
57,66
45,70
44,7
8,35
93,75
32,99
93,33
100,44
91,62
79,54
34,19
83,4
83,54
79,39
64,20
62,37
47,15
99,27
78,90
52,30
64,69
99,9
30,80
11,95
67,15
59,87
6,75
30,19
77,88
85,32
62,63
